,MCPP,SEASON,OFFENSE_COUNT,MCPP_POPULATION,MCPP_ACRES_LAND,MCPP_MEDIAN_AGE,MCPP_PCT_OCCUPIED_HOUSING,MCPP_PCT_BACHELOR,MCPP_MEDIAN_GROSS_RENT,MCPP_PCT_UNEMPLOYED,MCPP_MEDIAN_HH_INCOME,MCPP_PCT_POVERTY,CRIME_RATE
30,CAPITOL HILL,Summer,10058,22289.0,696.24,34.01,29.89,58.65,999.93,5.35,55953.93,16.02,45.1254
31,CAPITOL HILL,Winter,8775,22289.0,696.24,34.01,29.89,58.65,999.93,5.35,55953.93,16.02,39.3692
32,CENTRAL AREA/SQUIRE PARK,Fall,3949,16393.0,849.37,37.12,48.39,60.88,1110.85,5.38,71022.62,14.39,24.0896
33,CENTRAL AREA/SQUIRE PARK,Spring,3678,16393.0,849.37,37.12,48.39,60.88,1110.85,5.38,71022.62,14.39,22.4364
34,CENTRAL AREA/SQUIRE PARK,Summer,3777,16393.0,849.37,37.12,48.39,60.88,1110.85,5.38,71022.62,14.39,23.0403
35,CENTRAL AREA/SQUIRE PARK,Winter,3564,16393.0,849.37,37.12,48.39,60.88,1110.85,5.38,71022.62,14.39,21.741
36,CHINATOWN/INTERNATIONAL DISTRICT,Fall,4356,3645.0,239.26,42.49,22.11,33.46,705.12,10.0,29796.25,34.21,119.5062
37,CHINATOWN/INTERNATIONAL DISTRICT,Spring,3889,3645.0,239.26,42.49,22.11,33.46,705.12,10.0,29796.25,34.21,106.6941
38,CHINATOWN/INTERNATIONAL DISTRICT,Summer,4399,3645.0,239.26,42.49,22.11,33.46,705.12,10.0,29796.25,34.21,120.6859
39,CHINATOWN/INTERNATIONAL DISTRICT,Winter,3862,3645.0,239.26,42.49,22.11,33.46,705.12,10.0,29796.25,34.21,105.9534
40,CLAREMONT/RAINIER VISTA,Fall,848,2521.0,290.22,39.47,61.82,38.3,785.0,6.35,60143.17,11.45,33.6374
41,CLAREMONT/RAINIER VISTA,Spring,798,2521.0,290.22,39.47,61.82,38.3,785.0,6.35,60143.17,11.45,31.6541
42,CLAREMONT/RAINIER VISTA,Summer,876,2521.0,290.22,39.47,61.82,38.3,785.0,6.35,60143.17,11.45,34.7481
43,CLAREMONT/RAINIER VISTA,Winter,769,2521.0,290.22,39.47,61.82,38.3,785.0,6.35,60143.17,11.45,30.5038
44,COLUMBIA CITY,Fall,976,4046.0,297.4,39.1,62.02,38.8,850.0,7.46,58200.8,11.6,24.1226
45,COLUMBIA CITY,Spring,1062,4046.0,297.4,39.1,62.02,38.8,850.0,7.46,58200.8,11.6,26.2481
46,COLUMBIA CITY,Summer,949,4046.0,297.4,39.1,62.02,38.8,850.0,7.46,58200.8,11.6,23.4553
47,COLUMBIA CITY,Winter,972,4046.0,297.4,39.1,62.02,38.8,850.0,7.46,58200.8,11.6,24.0237
48,COMMERCIAL DUWAMISH,Fall,111,2014.0,552.2,38.1,60.08,37.78,1110.25,7.75,64308.0,9.93,5.5114
49,COMMERCIAL DUWAMISH,Spring,71,2014.0,552.2,38.1,60.08,37.78,1110.25,7.75,64308.0,9.93,3.5253
50,COMMERCIAL DUWAMISH,Summer,113,2014.0,552.2,38.1,60.08,37.78,1110.25,7.75,64308.0,9.93,5.6107
51,COMMERCIAL DUWAMISH,Winter,94,2014.0,552.2,38.1,60.08,37.78,1110.25,7.75,64308.0,9.93,4.6673
52,COMMERCIAL HARBOR ISLAND,Fall,59,1293.0,409.45,43.35,55.3,46.15,1032.5,8.0,60915.0,14.6,4.563
53,COMMERCIAL HARBOR ISLAND,Spring,41,1293.0,409.45,43.35,55.3,46.15,1032.5,8.0,60915.0,14.6,3.1709
54,COMMERCIAL HARBOR ISLAND,Summer,56,1293.0,409.45,43.35,55.3,46.15,1032.5,8.0,60915.0,14.6,4.331
55,COMMERCIAL HARBOR ISLAND,Winter,58,1293.0,409.45,43.35,55.3,46.15,1032.5,8.0,60915.0,14.6,4.4857
56,DOWNTOWN COMMERCIAL,Fall,13496,7706.0,306.18,39.51,14.62,48.52,842.22,8.03,37499.11,25.92,175.1363
57,DOWNTOWN COMMERCIAL,Spring,13854,7706.0,306.18,39.51,14.62,48.52,842.22,8.03,37499.11,25.92,179.782
58,DOWNTOWN COMMERCIAL,Summer,13852,7706.0,306.18,39.51,14.62,48.52,842.22,8.03,37499.11,25.92,179.756
59,DOWNTOWN COMMERCIAL,Winter,13545,7706.0,306.18,39.51,14.62,48.52,842.22,8.03,37499.11,25.92,175.7721
60,EASTLAKE - EAST,Fall,264,1151.0,94.07,33.95,29.33,64.65,973.5,5.85,58355.5,12.45,22.9366
